No.Manifiesto,GrupoCliente,CodCliente,NomCliente,FechDocumento,DocTotal,NumLinea,ItemCode,Dscription,Cantidad,Precio,Subtotal,SubTotal09,Peso,Ciudad,TipoCliente
40086057,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,26/1/2017 00:00,159.92,0,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,66.8,2.1,140.28,140.28,66.8,GUAYAQUIL,TPP
40087008,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,6/2/2017 00:00,11.01,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,3.6,2.1,7.56,7.56,3.6,GUAYAQUIL,TPP
40087008,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,6/2/2017 00:00,11.01,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1,2.1,2.1,2.1,1,GUAYAQUIL,TPP
40092033,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,23/3/2017 00:00,129.99,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,2,2.1,4.2,4.2,2,GUAYAQUIL,TPP
40092033,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,23/3/2017 00:00,129.99,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,52.3,2.1,109.83,109.83,52.3,GUAYAQUIL,TPP
40092263,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,27/3/2017 00:00,42.61,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,16.2,2.1,34.02,34.02,16.2,GUAYAQUIL,TPP
40092263,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,27/3/2017 00:00,42.61,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,1.6,2.1,3.36,3.36,1.6,GUAYAQUIL,TPP
40093075,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,3/4/2017 00:00,36.63,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,13.1,2.1,27.51,27.51,13.1,GUAYAQUIL,TPP
40093075,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,3/4/2017 00:00,36.63,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,2.2,2.1,4.62,4.62,2.2,GUAYAQUIL,TPP
40098453,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,18/5/2017 00:00,58.41,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,0.8,2.1,1.68,1.68,0.8,GUAYAQUIL,TPP
40098453,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,18/5/2017 00:00,58.41,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,23.6,2.1,49.56,49.56,23.6,GUAYAQUIL,TPP
40098690,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,22/5/2017 00:00,45.25,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,16.6,2.1,34.86,34.86,16.6,GUAYAQUIL,TPP
40098690,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,22/5/2017 00:00,45.25,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,0.5,2.1,1.05,1.05,0.5,GUAYAQUIL,TPP
40098690,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,22/5/2017 00:00,45.25,2,0201460001,Cultivos de agentes infecciosos y desechos de producción biológica vacunas vencidas o inutilizadas,1.8,2.1,3.78,3.78,1.8,GUAYAQUIL,TPP
40099421,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,29/5/2017 00:00,31.36,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,8.3,2.1,17.43,17.43,8.3,GUAYAQUIL,TPP
40099421,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,29/5/2017 00:00,31.36,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,4.8,2.1,10.08,10.08,4.8,GUAYAQUIL,TPP
40105348,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,13/7/2017 00:00,58.33,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,0.8,2.1,1.68,1.68,0.8,GUAYAQUIL,TPP
40105348,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,13/7/2017 00:00,58.33,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,24,2.1,50.4,50.4,24,GUAYAQUIL,TPP
40105661,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,17/7/2017 00:00,18.35,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,7,2.1,14.7,14.7,7,GUAYAQUIL,TPP
40105661,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,17/7/2017 00:00,18.35,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,0.8,2.1,1.68,1.68,0.8,GUAYAQUIL,TPP
40107032,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,27/7/2017 00:00,33.63,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,11.1,2.1,23.31,23.31,11.1,GUAYAQUIL,TPP
40107032,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,27/7/2017 00:00,33.63,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,3.2,2.1,6.72,6.72,3.2,GUAYAQUIL,TPP
40112772,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,7/9/2017 00:00,124.66,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,0.8,2.1,1.68,1.68,0.8,GUAYAQUIL,TPP
40112772,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,7/9/2017 00:00,124.66,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,52.2,2.1,109.62,109.62,52.2,GUAYAQUIL,TPP
40113158,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,9/9/2017 00:00,6.82,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,2,2.1,4.2,4.2,2,GUAYAQUIL,TPP
40113158,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,9/9/2017 00:00,6.82,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,0.9,2.1,1.89,1.89,0.9,GUAYAQUIL,TPP
40114127,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,18/9/2017 00:00,31.75,0,0201460005,Objetos cortopunzantes que han sido utilizados en la atencion de seres humanos o animales,9.3,2.1,19.53,19.53,9.3,GUAYAQUIL,TPP
40114127,Hospitalario,C0968594650001,COORDINACION ZONAL 8-SALUD,18/9/2017 00:00,31.75,1,0201460007,Material e insumos que han sido utilizados para procedimientos medicos y que han estado en contacto,4.2,2.1,8.82,8.82,4.2,GUAYAQUIL,TPP
