No.Manifiesto,CodCliente,NomCliente,FechDocumento,DocTotal,NumLinea,ItemCode,Dscription,Cantidad,Precio,Subtotal,SubTotal09,Peso,Ciudad,TipoCliente
40086057,C0968594650001,COORDINACION ZONAL 8-SALUD,26/1/2017 00:00,159.92,0,201460007,Material e insumos que han sido utilizados para procedimientos médicos y que han estado en contacto,66.8,2.1,140.28,140.28,66.8,GUAYAQUIL,TPP
40087008,C0968594650001,COORDINACION ZONAL 8-SALUD,6/2/2017 00:00,11.01,0,201460005,Objetos cortopunzantes que han sido utilizados en la atención de seres humanos o animales,3.6,2.1,7.56,7.56,3.6,GUAYAQUIL,TPP
40087008,C0968594650001,COORDINACION ZONAL 8-SALUD,6/2/2017 00:00,11.01,1,201460007,Material e insumos que han sido utilizados para procedimientos médicos y que han estado en contacto,1,2.1,2.1,2.1,1,GUAYAQUIL,TPP
40092033,C0968594650001,COORDINACION ZONAL 8-SALUD,23/3/2017 00:00,129.99,0,201460005,Objetos cortopunzantes que han sido utilizados en la atención de seres humanos o animales,2,2.1,4.2,4.2,2,GUAYAQUIL,TPP
40092033,C0968594650001,COORDINACION ZONAL 8-SALUD,23/3/2017 00:00,129.99,1,201460007,Material e insumos que han sido utilizados para procedimientos médicos y que han estado en contacto,52.3,2.1,109.83,109.83,52.3,GUAYAQUIL,TPP
40092263,C0968594650001,COORDINACION ZONAL 8-SALUD,27/3/2017 00:00,42.61,0,201460005,Objetos cortopunzantes que han sido utilizados en la atención de seres humanos o animales,16.2,2.1,34.02,34.02,16.2,GUAYAQUIL,TPP
40092263,C0968594650001,COORDINACION ZONAL 8-SALUD,27/3/2017 00:00,42.61,1,201460007,Material e insumos que han sido utilizados para procedimientos médicos y que han estado en contacto,1.6,2.1,3.36,3.36,1.6,GUAYAQUIL,TPP
40093075,C0968594650001,COORDINACION ZONAL 8-SALUD,3/4/2017 00:00,36.63,0,201460005,Objetos cortopunzantes que han sido utilizados en la atención de seres humanos o animales,13.1,2.1,27.51,27.51,13.1,GUAYAQUIL,TPP
40093075,C0968594650001,COORDINACION ZONAL 8-SALUD,3/4/2017 00:00,36.63,1,201460007,Material e insumos que han sido utilizados para procedimientos médicos y que han estado en contacto,2.2,2.1,4.62,4.62,2.2,GUAYAQUIL,TPP
40098453,C0968594650001,COORDINACION ZONAL 8-SALUD,18/5/2017 00:00,58.41,0,201460005,Objetos cortopunzantes que han sido utilizados en la atención de seres humanos o animales,0.8,2.1,1.68,1.68,0.8,GUAYAQUIL,TPP
40098453,C0968594650001,COORDINACION ZONAL 8-SALUD,18/5/2017 00:00,58.41,1,201460007,Material e insumos que han sido utilizados para procedimientos médicos y que han estado en contacto,23.6,2.1,49.56,49.56,23.6,GUAYAQUIL,TPP
40098690,C0968594650001,COORDINACION ZONAL 8-SALUD,22/5/2017 00:00,45.25,0,201460005,Objetos cortopunzantes que han sido utilizados en la atención de seres humanos o animales,16.6,2.1,34.86,34.86,16.6,GUAYAQUIL,TPP
40098690,C0968594650001,COORDINACION ZONAL 8-SALUD,22/5/2017 00:00,45.25,1,201460007,Material e insumos que han sido utilizados para procedimientos médicos y que han estado en contacto,0.5,2.1,1.05,1.05,0.5,GUAYAQUIL,TPP
40098690,C0968594650001,COORDINACION ZONAL 8-SALUD,22/5/2017 00:00,45.25,2,201460001,Cultivos de agentes infecciosos y desechos de producción biológica vacunas vencidas o inutilizadas,1.8,2.1,3.78,3.78,1.8,GUAYAQUIL,TPP
40099421,C0968594650001,COORDINACION ZONAL 8-SALUD,29/5/2017 00:00,31.36,0,201460005,Objetos cortopunzantes que han sido utilizados en la atención de seres humanos o animales,8.3,2.1,17.43,17.43,8.3,GUAYAQUIL,TPP
40099421,C0968594650001,COORDINACION ZONAL 8-SALUD,29/5/2017 00:00,31.36,1,201460007,Material e insumos que han sido utilizados para procedimientos médicos y que han estado en contacto,4.8,2.1,10.08,10.08,4.8,GUAYAQUIL,TPP
40105348,C0968594650001,COORDINACION ZONAL 8-SALUD,13/7/2017 00:00,58.33,0,201460005,Objetos cortopunzantes que han sido utilizados en la atención de seres humanos o animales,0.8,2.1,1.68,1.68,0.8,GUAYAQUIL,TPP
40105348,C0968594650001,COORDINACION ZONAL 8-SALUD,13/7/2017 00:00,58.33,1,201460007,Material e insumos que han sido utilizados para procedimientos médicos y que han estado en contacto,24,2.1,50.4,50.4,24,GUAYAQUIL,TPP
40105661,C0968594650001,COORDINACION ZONAL 8-SALUD,17/7/2017 00:00,18.35,0,201460005,Objetos cortopunzantes que han sido utilizados en la atención de seres humanos o animales,7,2.1,14.7,14.7,7,GUAYAQUIL,TPP
40105661,C0968594650001,COORDINACION ZONAL 8-SALUD,17/7/2017 00:00,18.35,1,201460007,Material e insumos que han sido utilizados para procedimientos médicos y que han estado en contacto,0.8,2.1,1.68,1.68,0.8,GUAYAQUIL,TPP
